Entity 1|Entity 2|Hints from Wordnet
application|outcome|False
application|plan|False
application|plan amendment|False
application|plan review meeting|False
application|plan reviewer workload|False
application|planning - relate report|False
application|planning study|False
application|preapplication assistance|False
application|property information|False
application|request|False
application|requirement|False
application|service|False
application|staff report|False
application|staff review|False
application|status|False
application|support documentation|False
application|when|False
application|zoning - relate permit|False
approve proffer|affidavit|False
approve proffer|appeal|False
approve proffer|application|False
approve proffer|approve proffer|False
approve proffer|bond|False
approve proffer|building development project|False
approve proffer|citation|False
approve proffer|code modification|False
approve proffer|completeness review|False
approve proffer|completion of require plan review|False
approve proffer|consistency|False
approve proffer|custom query / report|False
approve proffer|customer portal user account|False
approve proffer|development - relate permit|False
approve proffer|draft proffer|False
approve proffer|each condo unit|False
approve proffer|fee|False
approve proffer|fine|False
approve proffer|formal response|False
approve proffer|gis property management|False
approve proffer|hearing calendar|False
approve proffer|hearing date|False
approve proffer|hearing decision|False
approve proffer|hearing execution|False
approve proffer|hearing requirement|False
approve proffer|hold|False
approve proffer|information|False
approve proffer|inspection|False
approve proffer|inspector workload|False
approve proffer|internal note|False
approve proffer|meet|False
approve proffer|notice of violation|False
approve proffer|ordinance|False
approve proffer|outcome|False
approve proffer|plan|False
approve proffer|plan amendment|False
approve proffer|plan review meeting|False
approve proffer|plan reviewer workload|False
approve proffer|planning - relate report|False
approve proffer|planning study|False
approve proffer|preapplication assistance|False
approve proffer|property information|False
approve proffer|request|False
approve proffer|requirement|False
approve proffer|service|False
approve proffer|staff report|False
approve proffer|staff review|False
approve proffer|status|False
approve proffer|support documentation|False
approve proffer|when|False
approve proffer|zoning - relate permit|False
bond|affidavit|False
bond|appeal|False
bond|application|False
bond|approve proffer|False
bond|bond|False
bond|building development project|False
bond|citation|False
bond|code modification|False
bond|completeness review|False
bond|completion of require plan review|False
bond|consistency|False
bond|custom query / report|False
bond|customer portal user account|False
bond|development - relate permit|False
bond|draft proffer|False
bond|each condo unit|False
bond|fee|False
bond|fine|False
bond|formal response|False
bond|gis property management|False
bond|hearing calendar|False
bond|hearing date|False
bond|hearing decision|False
bond|hearing execution|False
bond|hearing requirement|False
bond|hold|False
bond|information|False
bond|inspection|False
bond|inspector workload|False
bond|internal note|False
bond|meet|False
bond|notice of violation|False
bond|ordinance|False
bond|outcome|False
bond|plan|False
bond|plan amendment|False
bond|plan review meeting|False
bond|plan reviewer workload|False
bond|planning - relate report|False
bond|planning study|False
bond|preapplication assistance|False
bond|property information|False
bond|request|False
bond|requirement|False
bond|service|False
bond|staff report|False
bond|staff review|False
bond|status|False
bond|support documentation|False
bond|when|False
bond|zoning - relate permit|False
building development project|affidavit|False
building development project|appeal|False
building development project|application|False
building development project|approve proffer|False
building development project|bond|False
building development project|building development project|False
building development project|citation|False
building development project|code modification|False
building development project|completeness review|False
building development project|completion of require plan review|False
building development project|consistency|False
building development project|custom query / report|False
building development project|customer portal user account|False
building development project|development - relate permit|False
building development project|draft proffer|False
building development project|each condo unit|False
building development project|fee|False
building development project|fine|False
building development project|formal response|False
building development project|gis property management|False
building development project|hearing calendar|False
building development project|hearing date|False
building development project|hearing decision|False
building development project|hearing execution|False
building development project|hearing requirement|False
building development project|hold|False
building development project|information|False
building development project|inspection|False
building development project|inspector workload|False
building development project|internal note|False
building development project|meet|False
building development project|notice of violation|False
building development project|ordinance|False
building development project|outcome|False
building development project|plan|False
building development project|plan amendment|False
building development project|plan review meeting|False
building development project|plan reviewer workload|False
building development project|planning - relate report|False
building development project|planning study|False
building development project|preapplication assistance|False
building development project|property information|False
building development project|request|False
building development project|requirement|False
building development project|service|False
building development project|staff report|False
building development project|staff review|False
building development project|status|False
building development project|support documentation|False
building development project|when|False
building development project|zoning - relate permit|False
citation|affidavit|False
citation|appeal|False
citation|application|False
citation|approve proffer|False
citation|bond|False
citation|building development project|False
citation|citation|False
citation|code modification|False
citation|completeness review|False
citation|completion of require plan review|False
citation|consistency|False
citation|custom query / report|False
citation|customer portal user account|False
citation|development - relate permit|False
citation|draft proffer|False
citation|each condo unit|False
citation|fee|False
citation|fine|False
citation|formal response|False
citation|gis property management|False
citation|hearing calendar|False
citation|hearing date|False
citation|hearing decision|False
citation|hearing execution|False
citation|hearing requirement|False
citation|hold|False
citation|information|False
citation|inspection|False
citation|inspector workload|False
citation|internal note|False
citation|meet|False
citation|notice of violation|False
citation|ordinance|False
citation|outcome|False
citation|plan|False
citation|plan amendment|False
citation|plan review meeting|False
citation|plan reviewer workload|False
citation|planning - relate report|False
citation|planning study|False
citation|preapplication assistance|False
citation|property information|False
citation|request|False
citation|requirement|False
citation|service|False
citation|staff report|False
citation|staff review|False
citation|status|False
citation|support documentation|False
citation|when|False
citation|zoning - relate permit|False
code modification|affidavit|False
code modification|appeal|False
code modification|application|False
code modification|approve proffer|False
code modification|bond|False
code modification|building development project|False
code modification|citation|False
code modification|code modification|False
code modification|completeness review|False
code modification|completion of require plan review|False
code modification|consistency|False
code modification|custom query / report|False
code modification|customer portal user account|False
code modification|development - relate permit|False
code modification|draft proffer|False
code modification|each condo unit|False
code modification|fee|False
code modification|fine|False
code modification|formal response|False
code modification|gis property management|False
code modification|hearing calendar|False
code modification|hearing date|False
code modification|hearing decision|False
code modification|hearing execution|False
code modification|hearing requirement|False
code modification|hold|False
code modification|information|False
code modification|inspection|False
code modification|inspector workload|False
code modification|internal note|False
code modification|meet|False
code modification|notice of violation|False
code modification|ordinance|False
code modification|outcome|False
code modification|plan|False
code modification|plan amendment|False
code modification|plan review meeting|False
code modification|plan reviewer workload|False
code modification|planning - relate report|False
code modification|planning study|False
code modification|preapplication assistance|False
code modification|property information|False
code modification|request|False
code modification|requirement|False
code modification|service|False
code modification|staff report|False
code modification|staff review|False
code modification|status|False
code modification|support documentation|False
code modification|when|False
code modification|zoning - relate permit|False
completeness review|affidavit|False
completeness review|appeal|False
completeness review|application|False
completeness review|approve proffer|False
completeness review|bond|False
completeness review|building development project|False
completeness review|citation|False
completeness review|code modification|False
completeness review|completeness review|False
completeness review|completion of require plan review|False
completeness review|consistency|False
completeness review|custom query / report|False
completeness review|customer portal user account|False
completeness review|development - relate permit|False
completeness review|draft proffer|False
completeness review|each condo unit|False
completeness review|fee|False
completeness review|fine|False
completeness review|formal response|False
completeness review|gis property management|False
completeness review|hearing calendar|False
completeness review|hearing date|False
completeness review|hearing decision|False
completeness review|hearing execution|False
completeness review|hearing requirement|False
completeness review|hold|False
completeness review|information|False
completeness review|inspection|False
completeness review|inspector workload|False
completeness review|internal note|False
completeness review|meet|False
completeness review|notice of violation|False
completeness review|ordinance|False
completeness review|outcome|False
completeness review|plan|False
completeness review|plan amendment|False
completeness review|plan review meeting|False
completeness review|plan reviewer workload|False
completeness review|planning - relate report|False
completeness review|planning study|False
completeness review|preapplication assistance|False
completeness review|property information|False
completeness review|request|False
completeness review|requirement|False
completeness review|service|False
completeness review|staff report|False
completeness review|staff review|False
completeness review|status|False
completeness review|support documentation|False
completeness review|when|False
completeness review|zoning - relate permit|False
completion of require plan review|affidavit|False
completion of require plan review|appeal|False
completion of require plan review|application|False
completion of require plan review|approve proffer|False
completion of require plan review|bond|False
completion of require plan review|building development project|False
completion of require plan review|citation|False
completion of require plan review|code modification|False
completion of require plan review|completeness review|False
completion of require plan review|completion of require plan review|False
completion of require plan review|consistency|False
completion of require plan review|custom query / report|False
completion of require plan review|customer portal user account|False
completion of require plan review|development - relate permit|False
completion of require plan review|draft proffer|False
completion of require plan review|each condo unit|False
completion of require plan review|fee|False
completion of require plan review|fine|False
completion of require plan review|formal response|False
completion of require plan review|gis property management|False
completion of require plan review|hearing calendar|False
completion of require plan review|hearing date|False
completion of require plan review|hearing decision|False
completion of require plan review|hearing execution|False
completion of require plan review|hearing requirement|False
completion of require plan review|hold|False
completion of require plan review|information|False
completion of require plan review|inspection|False
completion of require plan review|inspector workload|False
completion of require plan review|internal note|False
completion of require plan review|meet|False
completion of require plan review|notice of violation|False
completion of require plan review|ordinance|False
completion of require plan review|outcome|False
completion of require plan review|plan|False
completion of require plan review|plan amendment|False
completion of require plan review|plan review meeting|False
completion of require plan review|plan reviewer workload|False
completion of require plan review|planning - relate report|False
completion of require plan review|planning study|False
completion of require plan review|preapplication assistance|False
completion of require plan review|property information|False
completion of require plan review|request|False
completion of require plan review|requirement|False
completion of require plan review|service|False
completion of require plan review|staff report|False
completion of require plan review|staff review|False
completion of require plan review|status|False
completion of require plan review|support documentation|False
completion of require plan review|when|False
completion of require plan review|zoning - relate permit|False
consistency|affidavit|False
consistency|appeal|False
consistency|application|False
consistency|approve proffer|False
consistency|bond|False
consistency|building development project|False
consistency|citation|False
consistency|code modification|False
consistency|completeness review|False
consistency|completion of require plan review|False
consistency|consistency|False
consistency|custom query / report|False
consistency|customer portal user account|False
consistency|development - relate permit|False
consistency|draft proffer|False
consistency|each condo unit|False
consistency|fee|False
consistency|fine|False
consistency|formal response|False
consistency|gis property management|False
consistency|hearing calendar|False
consistency|hearing date|False
consistency|hearing decision|False
consistency|hearing execution|False
consistency|hearing requirement|False
consistency|hold|False
consistency|information|False
consistency|inspection|False
consistency|inspector workload|False
consistency|internal note|False
consistency|meet|False
consistency|notice of violation|False
consistency|ordinance|False
consistency|outcome|False
consistency|plan|False
consistency|plan amendment|False
consistency|plan review meeting|False
consistency|plan reviewer workload|False
consistency|planning - relate report|False
consistency|planning study|False
consistency|preapplication assistance|False
consistency|property information|False
consistency|request|False
consistency|requirement|False
consistency|service|False
consistency|staff report|False
consistency|staff review|False
consistency|status|False
consistency|support documentation|False
consistency|when|False
consistency|zoning - relate permit|False
custom query / report|affidavit|False
custom query / report|appeal|False
custom query / report|application|False
custom query / report|approve proffer|False
custom query / report|bond|False
custom query / report|building development project|False
custom query / report|citation|False
custom query / report|code modification|False
custom query / report|completeness review|False
custom query / report|completion of require plan review|False
custom query / report|consistency|False
custom query / report|custom query / report|False
custom query / report|customer portal user account|False
custom query / report|development - relate permit|False
custom query / report|draft proffer|False
custom query / report|each condo unit|False
custom query / report|fee|False
custom query / report|fine|False
custom query / report|formal response|False
custom query / report|gis property management|False
custom query / report|hearing calendar|False
custom query / report|hearing date|False
custom query / report|hearing decision|False
custom query / report|hearing execution|False
custom query / report|hearing requirement|False
custom query / report|hold|False
custom query / report|information|False
custom query / report|inspection|False
custom query / report|inspector workload|False
custom query / report|internal note|False
custom query / report|meet|False
custom query / report|notice of violation|False
custom query / report|ordinance|False
custom query / report|outcome|False
custom query / report|plan|False
custom query / report|plan amendment|False
custom query / report|plan review meeting|False
custom query / report|plan reviewer workload|False
custom query / report|planning - relate report|False
custom query / report|planning study|False
custom query / report|preapplication assistance|False
custom query / report|property information|False
custom query / report|request|False
custom query / report|requirement|False
custom query / report|service|False
custom query / report|staff report|False
custom query / report|staff review|False
custom query / report|status|False
custom query / report|support documentation|False
custom query / report|when|False
custom query / report|zoning - relate permit|False
customer portal user account|affidavit|False
customer portal user account|appeal|False
customer portal user account|application|False
customer portal user account|approve proffer|False
customer portal user account|bond|False
customer portal user account|building development project|False
customer portal user account|citation|False
customer portal user account|code modification|False
customer portal user account|completeness review|False
customer portal user account|completion of require plan review|False
customer portal user account|consistency|False
customer portal user account|custom query / report|False
customer portal user account|customer portal user account|False
customer portal user account|development - relate permit|False
customer portal user account|draft proffer|False
customer portal user account|each condo unit|False
customer portal user account|fee|False
customer portal user account|fine|False
customer portal user account|formal response|False
customer portal user account|gis property management|False
customer portal user account|hearing calendar|False
customer portal user account|hearing date|False
customer portal user account|hearing decision|False
customer portal user account|hearing execution|False
customer portal user account|hearing requirement|False
customer portal user account|hold|False
customer portal user account|information|False
customer portal user account|inspection|False
customer portal user account|inspector workload|False
customer portal user account|internal note|False
customer portal user account|meet|False
customer portal user account|notice of violation|False
customer portal user account|ordinance|False
customer portal user account|outcome|False
customer portal user account|plan|False
customer portal user account|plan amendment|False
customer portal user account|plan review meeting|False
customer portal user account|plan reviewer workload|False
customer portal user account|planning - relate report|False
customer portal user account|planning study|False
customer portal user account|preapplication assistance|False
customer portal user account|property information|False
customer portal user account|request|False
customer portal user account|requirement|False
customer portal user account|service|False
customer portal user account|staff report|False
customer portal user account|staff review|False
customer portal user account|status|False
customer portal user account|support documentation|False
customer portal user account|when|False
customer portal user account|zoning - relate permit|False
development - relate permit|affidavit|False
development - relate permit|appeal|False
development - relate permit|application|False
development - relate permit|approve proffer|False
development - relate permit|bond|False
development - relate permit|building development project|False
development - relate permit|citation|False
development - relate permit|code modification|False
development - relate permit|completeness review|False
development - relate permit|completion of require plan review|False
development - relate permit|consistency|False
development - relate permit|custom query / report|False
development - relate permit|customer portal user account|False
development - relate permit|development - relate permit|False
development - relate permit|draft proffer|False
development - relate permit|each condo unit|False
development - relate permit|fee|False
development - relate permit|fine|False
development - relate permit|formal response|False
development - relate permit|gis property management|False
development - relate permit|hearing calendar|False
development - relate permit|hearing date|False
development - relate permit|hearing decision|False
development - relate permit|hearing execution|False
development - relate permit|hearing requirement|False
development - relate permit|hold|False
development - relate permit|information|False
development - relate permit|inspection|False
development - relate permit|inspector workload|False
development - relate permit|internal note|False
development - relate permit|meet|False
development - relate permit|notice of violation|False
development - relate permit|ordinance|False
development - relate permit|outcome|False
development - relate permit|plan|False
development - relate permit|plan amendment|False
development - relate permit|plan review meeting|False
development - relate permit|plan reviewer workload|False
development - relate permit|planning - relate report|False
development - relate permit|planning study|False
development - relate permit|preapplication assistance|False
development - relate permit|property information|False
development - relate permit|request|False
development - relate permit|requirement|False
development - relate permit|service|False
development - relate permit|staff report|False
development - relate permit|staff review|False
development - relate permit|status|False
development - relate permit|support documentation|False
development - relate permit|when|False
development - relate permit|zoning - relate permit|False
draft proffer|affidavit|False
draft proffer|appeal|False
draft proffer|application|False
draft proffer|approve proffer|False
draft proffer|bond|False
draft proffer|building development project|False
draft proffer|citation|False
draft proffer|code modification|False
draft proffer|completeness review|False
draft proffer|completion of require plan review|False
draft proffer|consistency|False
draft proffer|custom query / report|False
draft proffer|customer portal user account|False
draft proffer|development - relate permit|False
draft proffer|draft proffer|False
draft proffer|each condo unit|False
draft proffer|fee|False
draft proffer|fine|False
draft proffer|formal response|False
draft proffer|gis property management|False
draft proffer|hearing calendar|False
draft proffer|hearing date|False
draft proffer|hearing decision|False
draft proffer|hearing execution|False
draft proffer|hearing requirement|False
draft proffer|hold|False
draft proffer|information|False
draft proffer|inspection|False
draft proffer|inspector workload|False
draft proffer|internal note|False
draft proffer|meet|False
draft proffer|notice of violation|False
draft proffer|ordinance|False
draft proffer|outcome|False
draft proffer|plan|False
draft proffer|plan amendment|False
draft proffer|plan review meeting|False
draft proffer|plan reviewer workload|False
draft proffer|planning - relate report|False
draft proffer|planning study|False
draft proffer|preapplication assistance|False
draft proffer|property information|False
draft proffer|request|False
draft proffer|requirement|False
draft proffer|service|False
draft proffer|staff report|False
draft proffer|staff review|False
draft proffer|status|False
draft proffer|support documentation|False
draft proffer|when|False
draft proffer|zoning - relate permit|False
each condo unit|affidavit|False
each condo unit|appeal|False
each condo unit|application|False
each condo unit|approve proffer|False
each condo unit|bond|False
each condo unit|building development project|False
each condo unit|citation|False
each condo unit|code modification|False
each condo unit|completeness review|False
each condo unit|completion of require plan review|False
each condo unit|consistency|False
each condo unit|custom query / report|False
each condo unit|customer portal user account|False
each condo unit|development - relate permit|False
each condo unit|draft proffer|False
each condo unit|each condo unit|False
each condo unit|fee|False
each condo unit|fine|False
each condo unit|formal response|False
each condo unit|gis property management|False
each condo unit|hearing calendar|False
each condo unit|hearing date|False
each condo unit|hearing decision|False
each condo unit|hearing execution|False
each condo unit|hearing requirement|False
each condo unit|hold|False
each condo unit|information|False
each condo unit|inspection|False
each condo unit|inspector workload|False
each condo unit|internal note|False
each condo unit|meet|False
each condo unit|notice of violation|False
each condo unit|ordinance|False
each condo unit|outcome|False
each condo unit|plan|False
each condo unit|plan amendment|False
each condo unit|plan review meeting|False
each condo unit|plan reviewer workload|False
each condo unit|planning - relate report|False
each condo unit|planning study|False
each condo unit|preapplication assistance|False
each condo unit|property information|False
each condo unit|request|False
each condo unit|requirement|False
each condo unit|service|False
each condo unit|staff report|False
each condo unit|staff review|False
each condo unit|status|False
each condo unit|support documentation|False
each condo unit|when|False
each condo unit|zoning - relate permit|False
fee|affidavit|False
fee|appeal|False
fee|application|False
fee|approve proffer|False
fee|bond|False
fee|building development project|False
fee|citation|False
fee|code modification|False
fee|completeness review|False
fee|completion of require plan review|False
fee|consistency|False
fee|custom query / report|False
fee|customer portal user account|False
fee|development - relate permit|False
fee|draft proffer|False
fee|each condo unit|False
fee|fee|False
fee|fine|False
fee|formal response|False
fee|gis property management|False
fee|hearing calendar|False
fee|hearing date|False
fee|hearing decision|False
fee|hearing execution|False
fee|hearing requirement|False
fee|hold|False
fee|information|False
fee|inspection|False
fee|inspector workload|False
fee|internal note|False
fee|meet|False
fee|notice of violation|False
fee|ordinance|False
fee|outcome|False
fee|plan|False
fee|plan amendment|False
fee|plan review meeting|False
fee|plan reviewer workload|False
fee|planning - relate report|False
fee|planning study|False
fee|preapplication assistance|False
fee|property information|False
fee|request|False
fee|requirement|False
fee|service|False
fee|staff report|False
fee|staff review|False
fee|status|False
fee|support documentation|False
fee|when|False
fee|zoning - relate permit|False
fine|affidavit|False
fine|appeal|False
fine|application|False
fine|approve proffer|False
fine|bond|False
fine|building development project|False
fine|citation|False
fine|code modification|False
fine|completeness review|False
fine|completion of require plan review|False
fine|consistency|False
fine|custom query / report|False
fine|customer portal user account|False
fine|development - relate permit|False
fine|draft proffer|False
fine|each condo unit|False
fine|fee|False
fine|fine|False
fine|formal response|False
fine|gis property management|False
fine|hearing calendar|False
fine|hearing date|False
fine|hearing decision|False
fine|hearing execution|False
fine|hearing requirement|False
fine|hold|False
fine|information|False
fine|inspection|False
fine|inspector workload|False
fine|internal note|False
fine|meet|False
fine|notice of violation|False
fine|ordinance|False
fine|outcome|False
fine|plan|False
fine|plan amendment|False
fine|plan review meeting|False
fine|plan reviewer workload|False
fine|planning - relate report|False
fine|planning study|False
fine|preapplication assistance|False
fine|property information|False
fine|request|False
fine|requirement|False
fine|service|False
fine|staff report|False
fine|staff review|False
fine|status|False
fine|support documentation|False
fine|when|False
fine|zoning - relate permit|False
formal response|affidavit|False
formal response|appeal|False
formal response|application|False
formal response|approve proffer|False
formal response|bond|False
formal response|building development project|False
formal response|citation|False
formal response|code modification|False
formal response|completeness review|False
formal response|completion of require plan review|False
formal response|consistency|False
formal response|custom query / report|False
formal response|customer portal user account|False
formal response|development - relate permit|False
formal response|draft proffer|False
formal response|each condo unit|False
formal response|fee|False
formal response|fine|False
formal response|formal response|False
formal response|gis property management|False
formal response|hearing calendar|False
formal response|hearing date|False
formal response|hearing decision|False
formal response|hearing execution|False
formal response|hearing requirement|False
formal response|hold|False
formal response|information|False
formal response|inspection|False
formal response|inspector workload|False
formal response|internal note|False
formal response|meet|False
formal response|notice of violation|False
formal response|ordinance|False
formal response|outcome|False
formal response|plan|False
formal response|plan amendment|False
formal response|plan review meeting|False
formal response|plan reviewer workload|False
formal response|planning - relate report|False
formal response|planning study|False
formal response|preapplication assistance|False
formal response|property information|False
formal response|request|False
formal response|requirement|False
formal response|service|False
formal response|staff report|False
formal response|staff review|False
formal response|status|False
formal response|support documentation|False
formal response|when|False
formal response|zoning - relate permit|False
gis property management|affidavit|False
gis property management|appeal|False
gis property management|application|False
gis property management|approve proffer|False
gis property management|bond|False
gis property management|building development project|False
gis property management|citation|False
gis property management|code modification|False
gis property management|completeness review|False
gis property management|completion of require plan review|False
gis property management|consistency|False
gis property management|custom query / report|False
gis property management|customer portal user account|False
gis property management|development - relate permit|False
gis property management|draft proffer|False
gis property management|each condo unit|False
gis property management|fee|False
gis property management|fine|False
gis property management|formal response|False
gis property management|gis property management|False
gis property management|hearing calendar|False
gis property management|hearing date|False
gis property management|hearing decision|False
gis property management|hearing execution|False
gis property management|hearing requirement|False
gis property management|hold|False
gis property management|information|False
gis property management|inspection|False
gis property management|inspector workload|False
gis property management|internal note|False
gis property management|meet|False
gis property management|notice of violation|False
gis property management|ordinance|False
gis property management|outcome|False
gis property management|plan|False
gis property management|plan amendment|False
gis property management|plan review meeting|False
gis property management|plan reviewer workload|False
gis property management|planning - relate report|False
gis property management|planning study|False
gis property management|preapplication assistance|False
gis property management|property information|False
gis property management|request|False
gis property management|requirement|False
gis property management|service|False
gis property management|staff report|False
gis property management|staff review|False
gis property management|status|False
gis property management|support documentation|False
gis property management|when|False
gis property management|zoning - relate permit|False
hearing calendar|affidavit|False
hearing calendar|appeal|False
hearing calendar|application|False
hearing calendar|approve proffer|False
hearing calendar|bond|False
hearing calendar|building development project|False
hearing calendar|citation|False
hearing calendar|code modification|False
hearing calendar|completeness review|False
hearing calendar|completion of require plan review|False
hearing calendar|consistency|False
hearing calendar|custom query / report|False
hearing calendar|customer portal user account|False
hearing calendar|development - relate permit|False
hearing calendar|draft proffer|False
hearing calendar|each condo unit|False
hearing calendar|fee|False
hearing calendar|fine|False
hearing calendar|formal response|False
hearing calendar|gis property management|False
hearing calendar|hearing calendar|False
hearing calendar|hearing date|False
hearing calendar|hearing decision|False
hearing calendar|hearing execution|False
hearing calendar|hearing requirement|False
hearing calendar|hold|False
hearing calendar|information|False
hearing calendar|inspection|False
hearing calendar|inspector workload|False
hearing calendar|internal note|False
hearing calendar|meet|False
hearing calendar|notice of violation|False
hearing calendar|ordinance|False
hearing calendar|outcome|False
hearing calendar|plan|False
hearing calendar|plan amendment|False
hearing calendar|plan review meeting|False
hearing calendar|plan reviewer workload|False
hearing calendar|planning - relate report|False
hearing calendar|planning study|False
hearing calendar|preapplication assistance|False
hearing calendar|property information|False
hearing calendar|request|False
hearing calendar|requirement|False
hearing calendar|service|False
hearing calendar|staff report|False
hearing calendar|staff review|False
hearing calendar|status|False
hearing calendar|support documentation|False
hearing calendar|when|False
hearing calendar|zoning - relate permit|False
hearing date|affidavit|False
hearing date|appeal|False
hearing date|application|False
hearing date|approve proffer|False
hearing date|bond|False
hearing date|building development project|False
hearing date|citation|False
hearing date|code modification|False
hearing date|completeness review|False
hearing date|completion of require plan review|False
hearing date|consistency|False
hearing date|custom query / report|False
hearing date|customer portal user account|False
hearing date|development - relate permit|False
hearing date|draft proffer|False
hearing date|each condo unit|False
hearing date|fee|False
hearing date|fine|False
hearing date|formal response|False
hearing date|gis property management|False
hearing date|hearing calendar|False
hearing date|hearing date|False
hearing date|hearing decision|False
hearing date|hearing execution|False
hearing date|hearing requirement|False
hearing date|hold|False
hearing date|information|False
hearing date|inspection|False
hearing date|inspector workload|False
hearing date|internal note|False
hearing date|meet|False
hearing date|notice of violation|False
hearing date|ordinance|False
hearing date|outcome|False
hearing date|plan|False
hearing date|plan amendment|False
hearing date|plan review meeting|False
hearing date|plan reviewer workload|False
hearing date|planning - relate report|False
hearing date|planning study|False
hearing date|preapplication assistance|False
hearing date|property information|False
hearing date|request|False
hearing date|requirement|False
hearing date|service|False
hearing date|staff report|False
hearing date|staff review|False
hearing date|status|False
hearing date|support documentation|False
hearing date|when|False
hearing date|zoning - relate permit|False
hearing decision|affidavit|False
hearing decision|appeal|False
hearing decision|application|False
hearing decision|approve proffer|False
hearing decision|bond|False
hearing decision|building development project|False
hearing decision|citation|False
hearing decision|code modification|False
hearing decision|completeness review|False
hearing decision|completion of require plan review|False
hearing decision|consistency|False
hearing decision|custom query / report|False
hearing decision|customer portal user account|False
hearing decision|development - relate permit|False
hearing decision|draft proffer|False
hearing decision|each condo unit|False
hearing decision|fee|False
hearing decision|fine|False
hearing decision|formal response|False
hearing decision|gis property management|False
hearing decision|hearing calendar|False
hearing decision|hearing date|False
hearing decision|hearing decision|False
hearing decision|hearing execution|False
hearing decision|hearing requirement|False
hearing decision|hold|False
hearing decision|information|False
hearing decision|inspection|False
hearing decision|inspector workload|False
hearing decision|internal note|False
hearing decision|meet|False
hearing decision|notice of violation|False
hearing decision|ordinance|False
hearing decision|outcome|False
hearing decision|plan|False
hearing decision|plan amendment|False
hearing decision|plan review meeting|False
hearing decision|plan reviewer workload|False
hearing decision|planning - relate report|False
hearing decision|planning study|False
hearing decision|preapplication assistance|False
hearing decision|property information|False
hearing decision|request|False
hearing decision|requirement|False
hearing decision|service|False
hearing decision|staff report|False
hearing decision|staff review|False
hearing decision|status|False
hearing decision|support documentation|False
hearing decision|when|False
hearing decision|zoning - relate permit|False
hearing execution|affidavit|False
hearing execution|appeal|False
hearing execution|application|False
hearing execution|approve proffer|False
hearing execution|bond|False
hearing execution|building development project|False
hearing execution|citation|False
hearing execution|code modification|False
hearing execution|completeness review|False
hearing execution|completion of require plan review|False
hearing execution|consistency|False
hearing execution|custom query / report|False
hearing execution|customer portal user account|False
hearing execution|development - relate permit|False
hearing execution|draft proffer|False
hearing execution|each condo unit|False
hearing execution|fee|False
hearing execution|fine|False
