story|action|classified_action
As a team leader, I want to oust an inactive member from my team|oust|d
As an administrator, I want to invalidate an expired API key|invalidate|d
As a user, I want to eradicate a saved payment method|eradicate|d
As an editor, I want to retract an incorrect article|retract|d
As an administrator, I want to truncate old logs after the retention period|truncate|d
As a user, I want to obliterate an uploaded file|obliterate|d
As an administrator, I want to cull unconfirmed registrations|cull|d
As a moderator, I want to take down a reported post|take down|d
As a project member, I want to scrap an outdated task|scrap|d
As a user, I want to delete permanently a saved draft|delete permanently|d
As an administrator, I want to wipe a deactivated account|wipe|d
As a team leader, I want to exclude a former member from the team|exclude|d
As a user, I want to delete a saved address|delete|d
As an administrator, I want to deprecate obsolete configurations|deprecate|d
As a moderator, I want to exterminate spam messages|exterminate|d
As a user, I want to exterminate a bookmarked item|exterminate|d
As an administrator, I want to dismantle unused roles|dismantle|d
As a support agent, I want to discard resolved tickets after closure|discard|d
As a user, I want to disconnect a linked device|disconnect|d
As a moderator, I want to strip offensive usernames|strip|d
As an administrator, I want to terminate expired sessions|terminate|d
As a user, I want to dismiss a notification|dismiss|d
As a project manager, I want to extirpate an archived milestone|extirpate|d
As an administrator, I want to excise invalid data entries|excise|d
As a user, I want to revoke a shared link|revoke|d
As a moderator, I want to purge permanently duplicate posts|purge permanently|d
As a team leader, I want to dissolve an empty group|dissolve|d
As a user, I want to clear a saved search|clear|d
As an administrator, I want to retire outdated templates|retire|d
As a user, I want to erase a profile picture|erase|d
As a moderator, I want to withdraw policy-violating content|withdraw|d
As an administrator, I want to purge orphaned records|purge|d
As a user, I want to unlink a connected social account|unlink|d
As a support agent, I want to eliminate test tickets|eliminate|d
As an administrator, I want to abolish obsolete user groups|abolish|d
